Empresas/InstInvtop5;Vanguard Group Inc.;Backrock Inc.;State Street Corporation;FMR LLC;Price (T. Rowe) Associates Inc.
Globant;0;1;0;0;0
Google;1;1;1;1;1
Meta;1;1;1;1;1
Twitter;1;1;1;0;0
Apple;1;1;1;1;0
Amazon;1;1;1;1;1
Tesla;1;1;1;0;0
Netflix;1;1;0;1;0
Pfizer;1;1;1;0;0
Comcast Corporation;1;1;1;0;0
Thomson Reuters;0;0;0;1;0
Charter Communications;1;1;1;0;0
Fox Corporation;1;1;0;0;1
The Walt Disney Company;1;1;1;0;0
AT&T;1;1;1;0;0
ViacomCBS;1;1;1;0;0
DISH Network Corporation;1;1;1;0;0
Microsoft Corporation;1;1;1;1;1
NVIDIA Corporation;1;1;1;1;0
Cisco Systems Inc.;1;1;1;0;0
Adobe Inc.;1;1;1;1;0
Broadcom Inc.;1;1;0;0;0
Salesforce;1;1;1;1;1
Oracle Corporation;1;1;1;0;0
Intel Corporation;1;1;1;0;0
Paypal Holdings Inc.;1;1;1;1;0
Qualcomm Incorporated;1;1;1;1;1
Advanced Micro Devices Inc. (AMD);1;1;1;0;1
International Business Machines Corporation (IBM);1;1;1;0;0
Micron Technology;1;1;1;0;0
Uber Technologies Inc.;1;0;0;1;0
CVS Health Corporation Inc.;1;1;1;0;0
United Health Group Incorporated;1;1;1;1;1
McKesson Corporation;1;1;1;0;0
AmerisourceBergen Corporation;1;1;1;0;0
Cigna Corporation Inc.;1;1;0;1;1
Cardinal Health Inc.;1;1;1;0;1
Walgreens Boots Alliance Inc.;1;1;1;1;0
Anthem Inc.;1;1;1;0;1
Johnson & Johnson;1;1;1;0;0
Centene Corporation;1;1;0;1;1
Merck & Co Inc.;1;1;1;0;0
AbbVie Inc.;1;1;1;0;0
Brystol-Myers Squibb Company;1;1;1;1;0
Gilead Sciences Inc.;0;1;1;0;0
Eli Lilly and Company;1;1;1;0;0
Amgen Inc.;1;1;1;0;0
Teva Pharmaceutical Industries Limited;0;1;0;0;0
Moderna Inc.;1;1;1;0;0
Credicorp;0;1;0;1;0
Intercorp Financial Services;0;1;0;1;0
Compañía de Minas Buenaventura;0;1;0;1;1
Regeneron Pharmaceuticals Inc.;1;1;1;1;0
Novavax;1;1;1;0;0
Vir Biotechnology Inc.;1;1;0;0;0
Inovio Pharmaceuticals Inc.;1;1;1;0;0
Metropolitan Bank Holding Corp.;1;1;0;0;0
Amerant Bancorp Inc.;1;1;0;0;0
Wells Fargo & Company;1;1;1;1;0
Cadence Bank;1;1;1;0;0
Comerica Incorporated;1;1;1;1;0
Meta Financial Group Inc.;1;1;0;1;0
Bank of America Corporation;1;1;1;1;0
JP Morgan Chase & Co;1;1;1;0;0
U.S. Bancorp;1;1;1;0;0
CME Group;1;1;1;0;0
Block Inc.;1;1;0;0;1
Mastercard Incorporated;1;1;1;1;1
Visa Inc.;1;1;1;1;1
DocuSign Inc.;1;1;0;0;1
Coinbase Global Inc;1;0;0;0;0
Barrick Gold Corporation;1;0;0;1;0
Newmont Corporation;1;1;1;0;0
Pan American Silver Corp.;1;0;0;0;0
Kimberly-Clarck Corporation;1;1;1;0;1
McDonald's Corporation;1;1;1;0;0
